id,area,gender,age,age_group,year_of_school,degree,job,know_english,know_france,know_chinese,income
470,central,male,67,middle,18,master,sale,0,0,0,31300
471,central,male,68,middle,15,bachelor,sale,1,0,0,
472,southern,female,42,middle,8,highshool,officer,1,0,0,6380
473,southern,female,36,youth,15,bachelor,officer,1,0,0,7790
474,northern,male,66,middle,8,highshool,officer,0,0,0,11740
475,northern,male,69,middle,8,highshool,sale,1,1,0,11390
476,southern,female,49,middle,16,master,officer,1,1,0,9390
477,central,male,63,middle,18,master,manager,1,1,1,34520
478,southern,female,73,elder,12,highshool,sale,1,1,0,9390
479,northern,female,51,middle,8,highshool,officer,1,0,0,9770
480,northern,female,65,middle,12,highshool,officer,0,0,0,11500
481,southern,female,73,elder,8,highshool,sale,0,0,0,9080
482,northern,female,73,elder,12,highshool,sale,0,0,0,9400
483,central,female,69,middle,15,bachelor,sale,1,0,0,14260
484,southern,female,46,middle,12,highshool,officer,1,0,0,7400
485,southern,female,36,youth,12,highshool,officer,0,1,0,6670
486,central,male,64,middle,19,master,sale,1,0,0,29540
487,central,male,69,middle,16,master,sale,0,0,1,28100
488,northern,male,67,middle,12,highshool,officer,1,0,0,12220
489,central,male,37,youth,12,highshool,sale,0,0,0,14230
490,southern,female,44,middle,15,bachelor,officer,1,0,0,9070
491,northern,male,69,middle,15,bachelor,sale,,0,0,10240
492,northern,male,68,middle,15,bachelor,sale,0,0,0,12230
493,northern,female,72,elder,12,highshool,sale,0,0,0,11850
494,northern,male,57,middle,12,highshool,officer,1,1,0,11660
495,northern,male,72,elder,15,bachelor,officer,0,0,0,11470
496,central,male,67,middle,18,master,sale,0,0,0,
497,central,male,68,middle,15,bachelor,sale,,0,0,12930
498,southern,female,42,middle,8,highshool,officer,1,0,0,6390
499,southern,female,36,youth,15,bachelor,officer,1,0,0,7800
500,northern,male,66,middle,8,highshool,officer,0,0,0,11790
